Typ usługi,Rodzaj usługi (Budżet),Odległość,Termin wykonania,Opis zadania,Link do zdjęcia
Elektryczna,Premium ($$$),19 km,2026-02-10,Wymiana skrzynki bezpiecznikowej,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
Florystyczna,Standard ($$),24 km,2026-01-31,Warsztaty z układania lasu w słoiku,https://images.unsplash.com/photo-1519340333755-56e9c1d04579?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Standard ($$),24 km,2026-02-12,Przycinanie żywopłotu,https://images.unsplash.com/photo-1592419044706-39796d40f98c?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Premium ($$$),18 km,2026-02-14,Wycinka starego drzewa (metoda alpinistyczna),https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Florystyczna,Premium ($$$),15 km,2026-02-09,Oprawa kwiatowa pogrzebu,https://images.unsplash.com/photo-1519340333755-56e9c1d04579?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Budget ($),20 km,2026-02-05,Grabienie liści,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Budget ($),29 km,2026-02-15,Polerowanie zmatowiałych reflektorów,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
IT i Grafika,Premium ($$$),6 km,2026-02-03,Stworzenie aplikacji mobilnej MVP,https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
Elektryczna,Standard ($$),22 km,2026-03-02,Podłączenie piekarnika elektrycznego,https://images.unsplash.com/photo-1558210834-473f430c09ac?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),12 km,2026-02-11,Mycie okien w całym domu,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Florystyczna,Premium ($$$),1 km,2026-02-19,Przygotowanie bukietu ślubnego,https://images.unsplash.com/photo-1526047932273-341f2a7631f9?q=80&w=800&auto=format&fit=crop
Dentystyczna,Premium ($$$),8 km,2026-01-11,Wstawienie implantu zębowego,https://images.unsplash.com/photo-1606811841689-23dfddce3e95?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Standard ($$),18 km,2026-02-22,Naprawa spłuczki podtynkowej,https://images.unsplash.com/photo-1607472586893-edb57bdc0e39?q=80&w=800&auto=format&fit=crop
IT i Grafika,Premium ($$$),9 km,2026-03-04,Pozycjonowanie strony lokalnej (SEO),https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Budget ($),7 km,2026-03-02,Wywiezienie odpadów zielonych,https://images.unsplash.com/photo-1592419044706-39796d40f98c?q=80&w=800&auto=format&fit=crop
Elektryczna,Budget ($),10 km,2026-02-11,Naprawa zerwanego kabla zasilającego,https://images.unsplash.com/photo-1558210834-473f430c09ac?q=80&w=800&auto=format&fit=crop
Florystyczna,Premium ($$$),6 km,2026-02-08,Dekoracja kościoła na ślub,https://images.unsplash.com/photo-1490750967868-88aa4486c946?q=80&w=800&auto=format&fit=crop
Sprzątająca,Premium ($$$),8 km,2026-02-05,Czyszczenie elewacji domu,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
Dentystyczna,Standard ($$),9 km,2026-03-04,Przegląd stomatologiczny i czyszczenie,https://images.unsplash.com/photo-1606811841689-23dfddce3e95?q=80&w=800&auto=format&fit=crop
Dentystyczna,Premium ($$$),5 km,2026-01-18,Ekstrakcja zęba mądrości,https://images.unsplash.com/photo-1598256989800-fe5f95da9787?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Budget ($),10 km,2026-02-17,Dostarczenie palety towaru,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Dentystyczna,Standard ($$),18 km,2026-02-28,Konsultacja ortodontyczna,https://images.unsplash.com/photo-1606811841689-23dfddce3e95?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Standard ($$),8 km,2026-01-20,Transport kanapy z wniesieniem,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
IT i Grafika,Standard ($$),24 km,2026-01-25,Konfiguracja sieci Wi-Fi w biurze,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Budget ($),13 km,2026-01-15,Naprawa cieknącego grzejnika,https://images.unsplash.com/photo-1607472586893-edb57bdc0e39?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),14 km,2026-01-30,Izolacja akustyczna sufitu,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Premium ($$$),28 km,2026-01-24,Wycinka starego drzewa (metoda alpinistyczna),https://images.unsplash.com/photo-1592419044706-39796d40f98c?q=80&w=800&auto=format&fit=crop
IT i Grafika,Standard ($$),22 km,2026-03-11,Złożenie prostego filmu promocyjnego,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),27 km,2026-02-18,Skuwanie starych płytek,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Florystyczna,Standard ($$),1 km,2026-02-19,Pielęgnacja roślin w biurze,https://images.unsplash.com/photo-1519340333755-56e9c1d04579?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Budget ($),16 km,2026-01-16,Pielenie rabatek kwiatowych,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Standard ($$),18 km,2026-03-03,Opryski przeciw szkodnikom,https://images.unsplash.com/photo-1592419044706-39796d40f98c?q=80&w=800&auto=format&fit=crop
Elektryczna,Standard ($$),15 km,2026-02-26,Montaż domofonu w domu jednorodzinnym,https://images.unsplash.com/photo-1558210834-473f430c09ac?q=80&w=800&auto=format&fit=crop
Dentystyczna,Premium ($$$),5 km,2026-01-12,Wybielanie zębów,https://images.unsplash.com/photo-1598256989800-fe5f95da9787?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),24 km,2026-01-16,Wymiana olejów i filtrów,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Elektryczna,Budget ($),8 km,2026-03-11,Wymiana żarówek w witrynie sklepowej,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Standard ($$),22 km,2026-01-17,Przycinanie żywopłotu,https://images.unsplash.com/photo-1592419044706-39796d40f98c?q=80&w=800&auto=format&fit=crop
Florystyczna,Standard ($$),5 km,2026-02-19,Warsztaty z układania lasu w słoiku,https://images.unsplash.com/photo-1519340333755-56e9c1d04579?q=80&w=800&auto=format&fit=crop
Budowlana,Budget ($),20 km,2026-01-30,Szpachlowanie ubytków w ścianie,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Premium ($$$),22 km,2026-01-15,Wycinka starego drzewa (metoda alpinistyczna),https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Budget ($),29 km,2026-03-10,Sezonowa wymiana opon,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),14 km,2026-02-28,Naprawa układu hamulcowego,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Florystyczna,Standard ($$),12 km,2026-01-31,Flowerbox na urodziny,https://images.unsplash.com/photo-1526047932273-341f2a7631f9?q=80&w=800&auto=format&fit=crop
IT i Grafika,Premium ($$$),21 km,2026-02-02,Stworzenie aplikacji mobilnej MVP,https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
Elektryczna,Budget ($),13 km,2026-02-14,Naprawa zerwanego kabla zasilającego,https://images.unsplash.com/photo-1558210834-473f430c09ac?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Premium ($$$),23 km,2026-01-27,Przygotowanie auta do sprzedaży (komplet),https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),2 km,2026-02-17,Wymiana rozrządu w silniku Diesla,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),6 km,2026-01-25,Pranie dywanów metodą ekstrakcyjną,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Premium ($$$),3 km,2026-01-15,Instalacja ogrzewania podłogowego,https://images.unsplash.com/photo-1607472586893-edb57bdc0e39?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Premium ($$$),8 km,2026-01-11,Relokacja biura (10 stanowisk),https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Hydrauliczna,Budget ($),8 km,2026-02-06,Podłączenie pralki,https://images.unsplash.com/photo-1607472586893-edb57bdc0e39?q=80&w=800&auto=format&fit=crop
IT i Grafika,Standard ($$),6 km,2026-02-19,Złożenie prostego filmu promocyjnego,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Budget ($),28 km,2026-03-03,Polerowanie zmatowiałych reflektorów,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
IT i Grafika,Premium ($$$),5 km,2026-02-06,Stworzenie aplikacji mobilnej MVP,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Budget ($),26 km,2026-01-27,Naprawa cieknącego grzejnika,https://images.unsplash.com/photo-1607472586893-edb57bdc0e39?q=80&w=800&auto=format&fit=crop
Elektryczna,Standard ($$),25 km,2026-01-26,Podłączenie płyty indukcyjnej,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
Elektryczna,Premium ($$$),3 km,2026-02-20,Instalacja inteligentnego domu (Smart Home),https://images.unsplash.com/photo-1558210834-473f430c09ac?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),23 km,2026-01-19,Wymiana rozrządu w silniku Diesla,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
Florystyczna,Premium ($$$),9 km,2026-03-02,Dekoracja kwiatowa sali bankietowej,https://images.unsplash.com/photo-1526047932273-341f2a7631f9?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Standard ($$),3 km,2026-02-18,Przewóz motocykla na lawecie,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Motoryzacyjna,Standard ($$),28 km,2026-02-28,Wymiana rozrządu w silniku Diesla,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),22 km,2026-02-13,Izolacja akustyczna sufitu,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
IT i Grafika,Premium ($$$),23 km,2026-02-12,Stworzenie aplikacji mobilnej MVP,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Florystyczna,Budget ($),7 km,2026-02-03,Bukiet tulipanów z dostawą,https://images.unsplash.com/photo-1490750967868-88aa4486c946?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),26 km,2026-02-05,Ustawienie zbieżności kół,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Premium ($$$),19 km,2026-03-03,Transport pianina lub instrumentów,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Ogrody i Tereny Zielone,Standard ($$),25 km,2026-02-08,Nasadzenia drzewek owocowych,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Premium ($$$),27 km,2026-02-28,Relokacja biura (10 stanowisk),https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Budowlana,Budget ($),26 km,2026-02-23,Wiercenie otworów w betonie pod półki,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Dentystyczna,Standard ($$),19 km,2026-03-09,Proteza częściowa osiadająca,https://images.unsplash.com/photo-1588776814546-1ffcf47267a5?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),25 km,2026-02-22,Pranie dywanów metodą ekstrakcyjną,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Premium ($$$),1 km,2026-02-21,Transport pianina lub instrumentów,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
IT i Grafika,Budget ($),21 km,2026-03-03,Instalacja systemu Windows i sterowników,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),27 km,2026-01-29,Izolacja akustyczna sufitu,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Elektryczna,Standard ($$),11 km,2026-02-08,Podłączenie piekarnika elektrycznego,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),8 km,2026-02-28,Wymiana rozrządu w silniku Diesla,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
IT i Grafika,Premium ($$$),21 km,2026-01-29,Stworzenie aplikacji mobilnej MVP,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Budget ($),18 km,2026-01-22,Naprawa cieknącego grzejnika,https://images.unsplash.com/photo-1607472586893-edb57bdc0e39?q=80&w=800&auto=format&fit=crop
Florystyczna,Premium ($$$),24 km,2026-02-09,Przygotowanie bukietu ślubnego,https://images.unsplash.com/photo-1519340333755-56e9c1d04579?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),20 km,2026-03-06,Skuwanie starych płytek,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Florystyczna,Premium ($$$),23 km,2026-03-05,Dekoracja kwiatowa sali bankietowej,https://images.unsplash.com/photo-1519340333755-56e9c1d04579?q=80&w=800&auto=format&fit=crop
Florystyczna,Premium ($$$),1 km,2026-03-04,Dekoracja kościoła na ślub,https://images.unsplash.com/photo-1490750967868-88aa4486c946?q=80&w=800&auto=format&fit=crop
Budowlana,Premium ($$$),20 km,2026-02-02,Budowa ścianki działowej z płyt G-K,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Budget ($),7 km,2026-02-07,Dostarczenie palety towaru,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Transport i Przeprowadzki,Standard ($$),22 km,2026-02-15,Wywóz starych mebli,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Budowlana,Budget ($),28 km,2026-01-27,Szpachlowanie ubytków w ścianie,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),6 km,2026-03-07,Regularne sprzątanie biura,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),29 km,2026-01-29,Regularne sprzątanie biura,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
IT i Grafika,Premium ($$$),7 km,2026-01-21,Stworzenie aplikacji mobilnej MVP,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Budget ($),20 km,2026-02-20,Sezonowa wymiana opon,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Florystyczna,Standard ($$),18 km,2026-02-08,Pielęgnacja roślin w biurze,https://images.unsplash.com/photo-1526047932273-341f2a7631f9?q=80&w=800&auto=format&fit=crop
IT i Grafika,Budget ($),20 km,2026-01-21,Instalacja systemu Windows i sterowników,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Budget ($),27 km,2026-02-10,Pielenie rabatek kwiatowych,https://images.unsplash.com/photo-1592419044706-39796d40f98c?q=80&w=800&auto=format&fit=crop
Budowlana,Premium ($$$),14 km,2026-03-10,Montaż sufitu podwieszanego,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Florystyczna,Premium ($$$),7 km,2026-03-11,Przygotowanie bukietu ślubnego,https://images.unsplash.com/photo-1519340333755-56e9c1d04579?q=80&w=800&auto=format&fit=crop
Elektryczna,Budget ($),24 km,2026-02-26,Montaż gniazdek i włączników,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Premium ($$$),10 km,2026-01-22,Budowa tarasu drewnianego,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),22 km,2026-02-12,Regularne sprzątanie biura,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),13 km,2026-02-19,Malowanie salonu 30m2,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Elektryczna,Standard ($$),10 km,2026-01-15,Podłączenie piekarnika elektrycznego,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
Sprzątająca,Premium ($$$),10 km,2026-01-15,Czyszczenie elewacji domu,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Florystyczna,Premium ($$$),17 km,2026-02-26,Oprawa kwiatowa pogrzebu,https://images.unsplash.com/photo-1526047932273-341f2a7631f9?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Budget ($),24 km,2026-02-06,Przewóz szafy (sam kierowca),https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Budowlana,Standard ($$),18 km,2026-01-21,Tynkowanie dekoracyjne jednej ściany,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Elektryczna,Standard ($$),11 km,2026-02-23,Podłączenie piekarnika elektrycznego,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
Dentystyczna,Standard ($$),29 km,2026-03-07,Proteza częściowa osiadająca,https://images.unsplash.com/photo-1598256989800-fe5f95da9787?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),9 km,2026-02-21,Regularne sprzątanie biura,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Sprzątająca,Budget ($),5 km,2026-02-13,Odkurzanie i mycie podłóg,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Dentystyczna,Premium ($$$),23 km,2026-02-03,Licówki porcelanowe (2 sztuki),https://images.unsplash.com/photo-1606811841689-23dfddce3e95?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),18 km,2026-02-06,Sprzątanie po imprezie okolicznościowej,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),7 km,2026-01-25,Ustawienie zbieżności kół,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Budget ($),2 km,2026-01-19,Dostarczenie palety towaru,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Hydrauliczna,Budget ($),29 km,2026-01-27,Naprawa cieknącego grzejnika,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?q=80&w=800&auto=format&fit=crop
Florystyczna,Premium ($$$),30 km,2026-01-31,Dekoracja kościoła na ślub,https://images.unsplash.com/photo-1490750967868-88aa4486c946?q=80&w=800&auto=format&fit=crop
Elektryczna,Budget ($),20 km,2026-02-28,Wymiana żarówek w witrynie sklepowej,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
Florystyczna,Premium ($$$),4 km,2026-02-03,Dekoracja kościoła na ślub,https://images.unsplash.com/photo-1526047932273-341f2a7631f9?q=80&w=800&auto=format&fit=crop
Elektryczna,Premium ($$$),5 km,2026-02-28,Pomiary elektryczne instalacji,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Standard ($$),18 km,2026-02-09,Nasadzenia drzewek owocowych,https://images.unsplash.com/photo-1592419044706-39796d40f98c?q=80&w=800&auto=format&fit=crop
IT i Grafika,Premium ($$$),26 km,2026-02-04,Pozycjonowanie strony lokalnej (SEO),https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Standard ($$),29 km,2026-02-14,Transport materiałów budowlanych,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Budowlana,Budget ($),6 km,2026-02-07,Szpachlowanie ubytków w ścianie,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Budget ($),12 km,2026-01-24,Naprawa cieknącego grzejnika,https://images.unsplash.com/photo-1607472586893-edb57bdc0e39?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),25 km,2026-01-28,Izolacja akustyczna sufitu,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Elektryczna,Premium ($$$),21 km,2026-01-29,Instalacja inteligentnego domu (Smart Home),https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Premium ($$$),21 km,2026-03-06,Montaż systemu nawadniania,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
IT i Grafika,Budget ($),23 km,2026-01-23,Usunięcie wirusów z laptopa,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Florystyczna,Standard ($$),2 km,2026-02-19,Flowerbox na urodziny,https://images.unsplash.com/photo-1526047932273-341f2a7631f9?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Premium ($$$),7 km,2026-02-06,Budowa tarasu drewnianego,https://images.unsplash.com/photo-1592419044706-39796d40f98c?q=80&w=800&auto=format&fit=crop
Elektryczna,Premium ($$$),8 km,2026-01-28,Instalacja inteligentnego domu (Smart Home),https://images.unsplash.com/photo-1558210834-473f430c09ac?q=80&w=800&auto=format&fit=crop
Florystyczna,Standard ($$),16 km,2026-02-18,Flowerbox na urodziny,https://images.unsplash.com/photo-1490750967868-88aa4486c946?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Budget ($),22 km,2026-01-29,Naprawa cieknącego grzejnika,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?q=80&w=800&auto=format&fit=crop
IT i Grafika,Premium ($$$),26 km,2026-01-26,Pozycjonowanie strony lokalnej (SEO),https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Budowlana,Budget ($),24 km,2026-01-21,Szpachlowanie ubytków w ścianie,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),14 km,2026-02-02,Tynkowanie dekoracyjne jednej ściany,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),11 km,2026-01-27,Wymiana rozrządu w silniku Diesla,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),17 km,2026-03-11,Naprawa układu hamulcowego,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
IT i Grafika,Standard ($$),2 km,2026-01-23,Złożenie prostego filmu promocyjnego,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Budget ($),2 km,2026-01-29,Sezonowa wymiana opon,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
IT i Grafika,Budget ($),2 km,2026-01-21,Instalacja systemu Windows i sterowników,https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Budget ($),4 km,2026-02-12,Pielenie rabatek kwiatowych,https://images.unsplash.com/photo-1592419044706-39796d40f98c?q=80&w=800&auto=format&fit=crop
IT i Grafika,Budget ($),5 km,2026-02-15,Instalacja systemu Windows i sterowników,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Premium ($$$),17 km,2026-03-10,Instalacja ogrzewania podłogowego,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Standard ($$),16 km,2026-01-16,Koszenie i aeracja trawnika,https://images.unsplash.com/photo-1592419044706-39796d40f98c?q=80&w=800&auto=format&fit=crop
Sprzątająca,Budget ($),10 km,2026-01-30,Odkurzanie i mycie podłóg,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),25 km,2026-02-04,Malowanie salonu 30m2,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Budget ($),29 km,2026-01-29,Wywiezienie odpadów zielonych,https://images.unsplash.com/photo-1592419044706-39796d40f98c?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Budget ($),6 km,2026-03-03,Wywiezienie odpadów zielonych,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Dentystyczna,Standard ($$),13 km,2026-01-15,Konsultacja ortodontyczna,https://images.unsplash.com/photo-1588776814546-1ffcf47267a5?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Budget ($),3 km,2026-03-09,Wymiana akumulatora z dojazdem,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Standard ($$),24 km,2026-01-17,Wymiana syfonu w zlewie,https://images.unsplash.com/photo-1504148455328-c376907d081c?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),29 km,2026-03-09,Malowanie salonu 30m2,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Florystyczna,Premium ($$$),18 km,2026-02-27,Dekoracja kwiatowa sali bankietowej,https://images.unsplash.com/photo-1490750967868-88aa4486c946?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Premium ($$$),1 km,2026-02-28,Transport pianina lub instrumentów,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Sprzątająca,Budget ($),19 km,2026-03-09,Odkurzanie i mycie podłóg,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
Florystyczna,Standard ($$),24 km,2026-02-02,Kompozycja kwiatowa na recepcję,https://images.unsplash.com/photo-1526047932273-341f2a7631f9?q=80&w=800&auto=format&fit=crop
